d,sales,day,date,weekday,wday,month,year,event_label,event_type_1,snap_total,roll_7,roll_28
d_292,23928,292,2011-11-16,Wednesday,5,11,2011,,,0,29224.85714285714,28126.214285714286
d_293,23114,293,2011-11-17,Thursday,6,11,2011,,,0,28791.571428571428,28151.64285714286
d_294,26507,294,2011-11-18,Friday,7,11,2011,,,0,28327.571428571428,28129.39285714286
d_295,33545,295,2011-11-19,Saturday,1,11,2011,,,0,27988.0,28143.464285714286
d_296,32753,296,2011-11-20,Sunday,2,11,2011,,,0,27617.285714285714,28139.071428571428
d_297,25574,297,2011-11-21,Monday,3,11,2011,,,0,27446.0,28176.85714285714
d_298,25654,298,2011-11-22,Tuesday,4,11,2011,,,0,27296.428571428572,28291.75
d_299,30787,299,2011-11-23,Wednesday,5,11,2011,,,0,28276.285714285714,28600.5
d_300,18427,300,2011-11-24,Thursday,6,11,2011,Thanksgiving,National,0,27606.714285714286,28437.821428571428
d_301,23998,301,2011-11-25,Friday,7,11,2011,,,0,27248.285714285714,28334.89285714286
d_302,25292,302,2011-11-26,Saturday,1,11,2011,,,0,26069.285714285714,28051.785714285714
d_303,27134,303,2011-11-27,Sunday,2,11,2011,,,0,25266.571428571428,27883.25
d_304,22378,304,2011-11-28,Monday,3,11,2011,,,0,24810.0,27871.928571428572
d_305,21584,305,2011-11-29,Tuesday,4,11,2011,,,0,24228.571428571428,27712.821428571428
d_306,21089,306,2011-11-30,Wednesday,5,11,2011,,,0,22843.14285714286,27580.0
d_307,26268,307,2011-12-01,Thursday,6,12,2011,,,2,23963.285714285714,27521.64285714286
d_308,29727,308,2011-12-02,Friday,7,12,2011,,,2,24781.714285714286,27562.035714285714
d_309,38129,309,2011-12-03,Saturday,1,12,2011,,,3,26615.571428571428,27606.39285714286
d_310,35078,310,2011-12-04,Sunday,2,12,2011,,,1,27750.428571428572,27506.071428571428
d_311,29220,311,2011-12-05,Monday,3,12,2011,,,3,28727.85714285714,27575.428571428572
d_312,27267,312,2011-12-06,Tuesday,4,12,2011,,,3,29539.714285714286,27649.678571428572
d_313,25453,313,2011-12-07,Wednesday,5,12,2011,,,2,30163.14285714286,27626.85714285714
d_314,26347,314,2011-12-08,Thursday,6,12,2011,,,2,30174.428571428572,27634.0
d_315,29438,315,2011-12-09,Friday,7,12,2011,,,3,30133.14285714286,27622.678571428572
d_316,34786,316,2011-12-10,Saturday,1,12,2011,,,1,29655.571428571428,27582.10714285714
d_317,35743,317,2011-12-11,Sunday,2,12,2011,,,2,29750.571428571428,27596.214285714286
d_318,29151,318,2011-12-12,Monday,3,12,2011,,,2,29740.714285714286,27681.14285714286
d_319,26913,319,2011-12-13,Tuesday,4,12,2011,,,1,29690.14285714286,27688.714285714286
d_320,26794,320,2011-12-14,Wednesday,5,12,2011,,,1,29881.714285714286,27791.071428571428
d_321,29644,321,2011-12-15,Thursday,6,12,2011,,,2,30352.714285714286,28024.285714285714
d_322,28885,322,2011-12-16,Friday,7,12,2011,,,0,30273.714285714286,28109.214285714286
d_323,34159,323,2011-12-17,Saturday,1,12,2011,,,0,30184.14285714286,28131.14285714286
d_324,32087,324,2011-12-18,Sunday,2,12,2011,,,0,29661.85714285714,28107.35714285714
d_325,27068,325,2011-12-19,Monday,3,12,2011,,,0,29364.285714285714,28160.714285714286
d_326,26262,326,2011-12-20,Tuesday,4,12,2011,,,0,29271.285714285714,28182.428571428572
d_327,26662,327,2011-12-21,Wednesday,5,12,2011,,,0,29252.428571428572,28035.10714285714
d_328,28182,328,2011-12-22,Thursday,6,12,2011,,,0,29043.571428571428,28383.5
d_329,34646,329,2011-12-23,Friday,7,12,2011,,,0,29866.571428571428,28763.785714285714
d_330,29958,330,2011-12-24,Saturday,1,12,2011,,,0,29266.428571428572,28930.428571428572
d_331,13,331,2011-12-25,Sunday,2,12,2011,Christmas,National,0,24684.428571428572,27961.821428571428
d_332,28032,332,2011-12-26,Monday,3,12,2011,,,0,24822.14285714286,28163.75
d_333,24651,333,2011-12-27,Tuesday,4,12,2011,,,0,24592.0,28273.285714285714
d_334,24791,334,2011-12-28,Wednesday,5,12,2011,Chanukah End,Religious,0,24324.714285714286,28405.5
d_335,24541,335,2011-12-29,Thursday,6,12,2011,,,0,23804.571428571428,28343.821428571428
d_336,33652,336,2011-12-30,Friday,7,12,2011,,,0,23662.571428571428,28484.0
d_337,33751,337,2011-12-31,Saturday,1,12,2011,,,0,24204.428571428572,28327.64285714286
d_338,21807,338,2012-01-01,Sunday,2,1,2012,NewYear,National,2,27317.85714285714,27853.678571428572
d_339,33053,339,2012-01-02,Monday,3,1,2012,,,2,28035.14285714286,27990.571428571428
d_340,28751,340,2012-01-03,Tuesday,4,1,2012,,,3,28620.85714285714,28043.571428571428
d_341,25821,341,2012-01-04,Wednesday,5,1,2012,,,1,28768.0,28056.714285714286
d_342,28499,342,2012-01-05,Thursday,6,1,2012,,,3,29333.428571428572,28133.571428571428
d_343,30405,343,2012-01-06,Friday,7,1,2012,,,3,28869.571428571428,28168.10714285714
d_344,37143,344,2012-01-07,Saturday,1,1,2012,OrthodoxChristmas,Religious,2,29354.14285714286,28252.285714285714
d_345,36722,345,2012-01-08,Sunday,2,1,2012,,,2,31484.85714285714,28287.25
d_346,28206,346,2012-01-09,Monday,3,1,2012,,,3,30792.428571428572,28253.5
d_347,26640,347,2012-01-10,Tuesday,4,1,2012,,,1,30490.85714285714,28243.75
d_348,29044,348,2012-01-11,Wednesday,5,1,2012,,,2,30951.285714285714,28324.10714285714
d_349,24715,349,2012-01-12,Thursday,6,1,2012,,,2,30410.714285714286,28148.071428571428
d_350,29463,350,2012-01-13,Friday,7,1,2012,,,1,30276.14285714286,28168.714285714286
d_351,36815,351,2012-01-14,Saturday,1,1,2012,,,1,30229.285714285714,28263.571428571428
d_352,36459,352,2012-01-15,Sunday,2,1,2012,,,2,30191.714285714286,28419.714285714286
d_353,30548,353,2012-01-16,Monday,3,1,2012,MartinLutherKingDay,National,0,30526.285714285714,28544.0
d_354,22187,354,2012-01-17,Tuesday,4,1,2012,,,0,29890.14285714286,28398.464285714286
d_355,25348,355,2012-01-18,Wednesday,5,1,2012,,,0,29362.14285714286,28351.535714285714
d_356,24034,356,2012-01-19,Thursday,6,1,2012,,,0,29264.85714285714,28203.39285714286
d_357,27204,357,2012-01-20,Friday,7,1,2012,,,0,28942.14285714286,27937.60714285714
d_358,38578,358,2012-01-21,Saturday,1,1,2012,,,0,29194.0,28245.464285714286
d_359,32587,359,2012-01-22,Sunday,2,1,2012,,,0,28640.85714285714,29408.821428571428
d_360,24702,360,2012-01-23,Monday,3,1,2012,,,0,27805.714285714286,29289.89285714286
d_361,23549,361,2012-01-24,Tuesday,4,1,2012,,,0,28000.285714285714,29250.535714285714
d_362,22408,362,2012-01-25,Wednesday,5,1,2012,,,0,27580.285714285714,29165.428571428572
d_363,23237,363,2012-01-26,Thursday,6,1,2012,,,0,27466.428571428572,29118.85714285714
d_364,27199,364,2012-01-27,Friday,7,1,2012,,,0,27465.714285714286,28888.39285714286
d_365,34362,365,2012-01-28,Saturday,1,1,2012,,,0,26863.428571428572,28910.214285714286
d_366,33577,366,2012-01-29,Sunday,2,1,2012,,,0,27004.85714285714,29330.571428571428
d_367,25188,367,2012-01-30,Monday,3,1,2012,,,0,27074.285714285714,29049.678571428572
d_368,25124,368,2012-01-31,Tuesday,4,1,2012,,,0,27299.285714285714,28920.14285714286
d_369,29851,369,2012-02-01,Wednesday,5,2,2012,,,2,28362.571428571428,29064.071428571428
d_370,28615,370,2012-02-02,Thursday,6,2,2012,,,2,29130.85714285714,29068.214285714286
d_371,35104,371,2012-02-03,Friday,7,2,2012,,,3,30260.14285714286,29236.035714285714
d_372,43029,372,2012-02-04,Saturday,1,2,2012,,,1,31498.285714285714,29446.25
d_373,40075,373,2012-02-05,Sunday,2,2,2012,SuperBowl,Sporting,3,32426.571428571428,29566.0
d_374,30681,374,2012-02-06,Monday,3,2,2012,,,3,33211.28571428572,29654.39285714286
d_375,28108,375,2012-02-07,Tuesday,4,2,2012,,,2,33637.57142857143,29706.821428571428
d_376,28579,376,2012-02-08,Wednesday,5,2,2012,,,2,33455.857142857145,29690.214285714286
d_377,29927,377,2012-02-09,Thursday,6,2,2012,,,3,33643.28571428572,29876.35714285714
d_378,29863,378,2012-02-10,Friday,7,2,2012,,,1,32894.57142857143,29890.64285714286
d_379,41757,379,2012-02-11,Saturday,1,2,2012,,,2,32712.85714285714,30067.14285714286
d_380,41904,380,2012-02-12,Sunday,2,2,2012,,,2,32974.142857142855,30261.60714285714
d_381,31675,381,2012-02-13,Monday,3,2,2012,,,1,33116.142857142855,30301.85714285714
d_382,25100,382,2012-02-14,Tuesday,4,2,2012,ValentinesDay,Cultural,1,32686.428571428572,30405.89285714286
d_383,26878,383,2012-02-15,Wednesday,5,2,2012,,,2,32443.428571428572,30460.535714285714
d_384,25195,384,2012-02-16,Thursday,6,2,2012,,,0,31767.428571428572,30502.0
d_385,27604,385,2012-02-17,Friday,7,2,2012,,,0,31444.714285714286,30516.285714285714
d_386,36622,386,2012-02-18,Saturday,1,2,2012,,,0,30711.14285714286,30446.428571428572
d_387,36338,387,2012-02-19,Sunday,2,2,2012,,,0,29916.0,30580.39285714286
d_388,30218,388,2012-02-20,Monday,3,2,2012,PresidentsDay,National,0,29707.85714285714,30777.39285714286
d_389,25190,389,2012-02-21,Tuesday,4,2,2012,,,0,29720.714285714286,30836.0
d_390,24115,390,2012-02-22,Wednesday,5,2,2012,LentStart,Religious,0,29326.0,30896.964285714286
d_391,25211,391,2012-02-23,Thursday,6,2,2012,,,0,29328.285714285714,30967.464285714286
d_392,27870,392,2012-02-24,Friday,7,2,2012,,,0,29366.285714285714,30991.428571428572
d_393,35769,393,2012-02-25,Saturday,1,2,2012,,,0,29244.428571428572,31041.678571428572
d_394,36281,394,2012-02-26,Sunday,2,2,2012,,,0,29236.285714285714,31138.25
d_395,27270,395,2012-02-27,Monday,3,2,2012,,,0,28815.14285714286,31212.60714285714
d_396,24359,396,2012-02-28,Tuesday,4,2,2012,,,0,28696.428571428572,31185.285714285714
d_397,24802,397,2012-02-29,Wednesday,5,2,2012,LentWeek2,Religious,0,28794.571428571428,31004.964285714286
d_398,30232,398,2012-03-01,Thursday,6,3,2012,,,2,29511.85714285714,31062.714285714286
d_399,32543,399,2012-03-02,Friday,7,3,2012,,,2,30179.428571428572,30971.25
d_400,41319,400,2012-03-03,Saturday,1,3,2012,,,3,30972.285714285714,30910.178571428572
d_401,40325,401,2012-03-04,Sunday,2,3,2012,,,1,31550.0,30919.10714285714
d_402,32703,402,2012-03-05,Monday,3,3,2012,,,3,32326.14285714286,30991.321428571428
d_403,31532,403,2012-03-06,Tuesday,4,3,2012,,,3,33350.857142857145,31113.60714285714
d_404,28608,404,2012-03-07,Wednesday,5,3,2012,,,2,33894.57142857143,31114.64285714286
d_405,29759,405,2012-03-08,Thursday,6,3,2012,Purim End,Religious,2,33827.0,31108.64285714286
d_406,32322,406,2012-03-09,Friday,7,3,2012,,,3,33795.42857142857,31196.464285714286
d_407,39559,407,2012-03-10,Saturday,1,3,2012,,,1,33544.0,31117.964285714286
d_408,40612,408,2012-03-11,Sunday,2,3,2012,,,2,33585.0,31071.821428571428
d_409,32501,409,2012-03-12,Monday,3,3,2012,,,2,33556.142857142855,31101.321428571428
d_410,29100,410,2012-03-13,Tuesday,4,3,2012,,,1,33208.71428571428,31244.178571428572
d_411,27841,411,2012-03-14,Wednesday,5,3,2012,,,1,33099.142857142855,31278.571428571428
d_412,30752,412,2012-03-15,Thursday,6,3,2012,,,2,33241.0,31477.035714285714
d_413,30951,413,2012-03-16,Friday,7,3,2012,,,0,33045.142857142855,31596.571428571428
d_414,37904,414,2012-03-17,Saturday,1,3,2012,StPatricksDay,Cultural,0,32808.71428571428,31642.35714285714
d_415,37694,415,2012-03-18,Sunday,2,3,2012,,,0,32391.85714285714,31690.785714285714
d_416,29187,416,2012-03-19,Monday,3,3,2012,,,0,31918.428571428572,31653.964285714286
d_417,25533,417,2012-03-20,Tuesday,4,3,2012,,,0,31408.85714285714,31666.214285714286
d_418,26227,418,2012-03-21,Wednesday,5,3,2012,,,0,31178.285714285714,31741.64285714286
d_419,26015,419,2012-03-22,Thursday,6,3,2012,,,0,30501.571428571428,31770.35714285714
d_420,29055,420,2012-03-23,Friday,7,3,2012,,,0,30230.714285714286,31812.678571428572
d_421,37089,421,2012-03-24,Saturday,1,3,2012,,,0,30114.285714285714,31859.821428571428
d_422,37843,422,2012-03-25,Sunday,2,3,2012,,,0,30135.571428571428,31915.60714285714
d_423,27182,423,2012-03-26,Monday,3,3,2012,,,0,29849.14285714286,31912.464285714286
d_424,24649,424,2012-03-27,Tuesday,4,3,2012,,,0,29722.85714285714,31922.821428571428
d_425,24783,425,2012-03-28,Wednesday,5,3,2012,,,0,29516.571428571428,31922.14285714286
d_426,23879,426,2012-03-29,Thursday,6,3,2012,,,0,29211.428571428572,31695.25
d_427,30732,427,2012-03-30,Friday,7,3,2012,,,0,29451.0,31630.571428571428
d_428,38463,428,2012-03-31,Saturday,1,3,2012,,,0,29647.285714285714,31528.571428571428
d_429,39783,429,2012-04-01,Sunday,2,4,2012,,,2,29924.428571428572,31509.214285714286
d_430,31359,430,2012-04-02,Monday,3,4,2012,,,2,30521.14285714286,31461.214285714286
d_431,33033,431,2012-04-03,Tuesday,4,4,2012,,,3,31718.85714285714,31514.821428571428
d_432,28318,432,2012-04-04,Wednesday,5,4,2012,,,1,32223.85714285714,31504.464285714286
d_433,31368,433,2012-04-05,Thursday,6,4,2012,,,3,33293.71428571428,31561.928571428572
d_434,37545,434,2012-04-06,Friday,7,4,2012,,,3,34267.0,31748.464285714286
d_435,45638,435,2012-04-07,Saturday,1,4,2012,,,2,35292.0,31965.571428571428
d_436,36210,436,2012-04-08,Sunday,2,4,2012,Easter,Cultural,2,34781.57142857143,31808.35714285714
d_437,31993,437,2012-04-09,Monday,3,4,2012,,,3,34872.142857142855,31790.214285714286
d_438,28800,438,2012-04-10,Tuesday,4,4,2012,,,1,34267.42857142857,31779.5
d_439,29575,439,2012-04-11,Wednesday,5,4,2012,,,2,34447.0,31841.428571428572
d_440,28568,440,2012-04-12,Thursday,6,4,2012,,,2,34047.0,31763.428571428572
d_441,31938,441,2012-04-13,Friday,7,4,2012,,,1,33246.0,31798.678571428572
d_442,38546,442,2012-04-14,Saturday,1,4,2012,Pesach End,Religious,1,32232.85714285714,31821.60714285714
d_443,38707,443,2012-04-15,Sunday,2,4,2012,OrthodoxEaster,Religious,2,32589.571428571428,31857.785714285714
d_444,27672,444,2012-04-16,Monday,3,4,2012,,,0,31972.285714285714,31803.678571428572
d_445,26067,445,2012-04-17,Tuesday,4,4,2012,,,0,31581.85714285714,31822.75
d_446,24699,446,2012-04-18,Wednesday,5,4,2012,,,0,30885.285714285714,31768.178571428572
d_447,24824,447,2012-04-19,Thursday,6,4,2012,,,0,30350.428571428572,31725.64285714286
d_448,28143,448,2012-04-20,Friday,7,4,2012,,,0,29808.285714285714,31693.071428571428
d_449,36708,449,2012-04-21,Saturday,1,4,2012,,,0,29545.714285714286,31679.464285714286
d_450,36764,450,2012-04-22,Sunday,2,4,2012,,,0,29268.14285714286,31640.928571428572
d_451,26670,451,2012-04-23,Monday,3,4,2012,,,0,29125.0,31622.64285714286
d_452,24848,452,2012-04-24,Tuesday,4,4,2012,,,0,28950.85714285714,31629.75
d_453,24448,453,2012-04-25,Wednesday,5,4,2012,,,0,28915.0,31617.785714285714
d_454,24530,454,2012-04-26,Thursday,6,4,2012,,,0,28873.0,31641.035714285714
d_455,28977,455,2012-04-27,Friday,7,4,2012,,,0,28992.14285714286,31578.35714285714
d_456,35647,456,2012-04-28,Saturday,1,4,2012,,,0,28840.571428571428,31477.785714285714
d_457,36124,457,2012-04-29,Sunday,2,4,2012,,,0,28749.14285714286,31347.10714285714
d_458,27356,458,2012-04-30,Monday,3,4,2012,,,0,28847.14285714286,31204.14285714286
d_459,30290,459,2012-05-01,Tuesday,4,5,2012,,,2,29624.571428571428,31106.178571428572
d_460,29239,460,2012-05-02,Wednesday,5,5,2012,,,2,30309.0,31139.071428571428
d_461,32959,461,2012-05-03,Thursday,6,5,2012,,,3,31513.14285714286,31195.89285714286
d_462,32932,462,2012-05-04,Friday,7,5,2012,,,1,32078.14285714286,31031.14285714286
d_463,39201,463,2012-05-05,Saturday,1,5,2012,Cinco De Mayo,Cultural,3,32585.85714285714,30801.25
d_464,41529,464,2012-05-06,Sunday,2,5,2012,,,3,33358.0,30991.214285714286
d_465,33477,465,2012-05-07,Monday,3,5,2012,,,2,34232.42857142857,31044.214285714286
d_466,30433,466,2012-05-08,Tuesday,4,5,2012,,,2,34252.857142857145,31102.535714285714
d_467,30204,467,2012-05-09,Wednesday,5,5,2012,,,3,34390.71428571428,31125.0
d_468,28164,468,2012-05-10,Thursday,6,5,2012,,,1,33705.71428571428,31110.571428571428
d_469,32814,469,2012-05-11,Friday,7,5,2012,,,2,33688.857142857145,31141.85714285714
d_470,40872,470,2012-05-12,Saturday,1,5,2012,,,2,33927.57142857143,31224.928571428572
d_471,33769,471,2012-05-13,Sunday,2,5,2012,Mother's day,Cultural,1,32819.0,31048.571428571428
d_472,31583,472,2012-05-14,Monday,3,5,2012,,,1,32548.428571428572,31188.25
d_473,31758,473,2012-05-15,Tuesday,4,5,2012,,,2,32737.714285714286,31391.5
d_474,28677,474,2012-05-16,Wednesday,5,5,2012,,,0,32519.571428571428,31533.571428571428
d_475,27323,475,2012-05-17,Thursday,6,5,2012,,,0,32399.428571428572,31622.821428571428
d_476,32311,476,2012-05-18,Friday,7,5,2012,,,0,32327.571428571428,31771.678571428572
d_477,37929,477,2012-05-19,Saturday,1,5,2012,,,0,31907.14285714286,31815.285714285714
d_478,39514,478,2012-05-20,Sunday,2,5,2012,,,0,32727.85714285714,31913.5
d_479,28805,479,2012-05-21,Monday,3,5,2012,,,0,32331.0,31989.75
d_480,27502,480,2012-05-22,Tuesday,4,5,2012,,,0,31723.0,32084.535714285714
d_481,26623,481,2012-05-23,Wednesday,5,5,2012,,,0,31429.571428571428,32162.214285714286
d_482,27963,482,2012-05-24,Thursday,6,5,2012,,,0,31521.0,32284.821428571428
d_483,32797,483,2012-05-25,Friday,7,5,2012,,,0,31590.428571428572,32421.25
d_484,37239,484,2012-05-26,Saturday,1,5,2012,,,0,31491.85714285714,32478.10714285714
d_485,33853,485,2012-05-27,Sunday,2,5,2012,,,0,30683.14285714286,32397.0
d_486,33407,486,2012-05-28,Monday,3,5,2012,MemorialDay,National,0,31340.571428571428,32613.10714285714
d_487,28620,487,2012-05-29,Tuesday,4,5,2012,,,0,31500.285714285714,32553.464285714286
d_488,27150,488,2012-05-30,Wednesday,5,5,2012,,,0,31575.571428571428,32478.85714285714
d_489,28809,489,2012-05-31,Thursday,6,5,2012,,,0,31696.428571428572,32330.64285714286
d_490,39529,490,2012-06-01,Friday,7,6,2012,,,2,32658.14285714286,32566.25
d_491,44943,491,2012-06-02,Saturday,1,6,2012,,,2,33758.71428571428,32771.32142857143
d_492,43910,492,2012-06-03,Sunday,2,6,2012,,,3,35195.42857142857,32856.357142857145
d_493,33294,493,2012-06-04,Monday,3,6,2012,,,1,35179.28571428572,32849.82142857143
d_494,34006,494,2012-06-05,Tuesday,4,6,2012,,,3,35948.71428571428,32977.42857142857
d_495,33587,495,2012-06-06,Wednesday,5,6,2012,,,3,36868.28571428572,33098.25
d_496,32535,496,2012-06-07,Thursday,6,6,2012,,,2,37400.57142857143,33254.357142857145
d_497,36901,497,2012-06-08,Friday,7,6,2012,,,2,37025.142857142855,33400.32142857143
d_498,43309,498,2012-06-09,Saturday,1,6,2012,,,3,36791.71428571428,33487.357142857145
d_499,44944,499,2012-06-10,Sunday,2,6,2012,,,1,36939.42857142857,33886.46428571428
d_500,39636,500,2012-06-11,Monday,3,6,2012,,,2,37845.42857142857,34174.07142857143
d_501,35074,501,2012-06-12,Tuesday,4,6,2012,NBAFinalsStart,Sporting,2,37998.0,34292.5
d_502,32930,502,2012-06-13,Wednesday,5,6,2012,,,1,37904.142857142855,34444.392857142855
d_503,33782,503,2012-06-14,Thursday,6,6,2012,,,1,38082.28571428572,34675.07142857143
d_504,41798,504,2012-06-15,Friday,7,6,2012,,,2,38781.857142857145,35013.892857142855
d_505,44438,505,2012-06-16,Saturday,1,6,2012,,,0,38943.142857142855,35246.357142857145
d_506,39039,506,2012-06-17,Sunday,2,6,2012,Father's day,Cultural,0,38099.57142857143,35229.392857142855
d_507,34100,507,2012-06-18,Monday,3,6,2012,,,0,37308.71428571428,35418.5
d_508,31967,508,2012-06-19,Tuesday,4,6,2012,,,0,36864.857142857145,35577.96428571428
d_509,31468,509,2012-06-20,Wednesday,5,6,2012,,,0,36656.0,35751.0
d_510,30764,510,2012-06-21,Thursday,6,6,2012,NBAFinalsEnd,Sporting,0,36224.857142857145,35851.03571428572
d_511,36477,511,2012-06-22,Friday,7,6,2012,,,0,35464.71428571428,35982.46428571428
d_512,40010,512,2012-06-23,Saturday,1,6,2012,,,0,34832.142857142855,36081.42857142857
d_513,40509,513,2012-06-24,Sunday,2,6,2012,,,0,35042.142857142855,36319.142857142855
d_514,31847,514,2012-06-25,Monday,3,6,2012,,,0,34720.28571428572,36263.42857142857
d_515,29371,515,2012-06-26,Tuesday,4,6,2012,,,0,34349.42857142857,36290.25
d_516,28885,516,2012-06-27,Wednesday,5,6,2012,,,0,33980.42857142857,36352.21428571428
d_517,29585,517,2012-06-28,Thursday,6,6,2012,,,0,33812.0,36379.92857142857
d_518,36377,518,2012-06-29,Friday,7,6,2012,,,0,33797.71428571428,36267.357142857145
d_519,40594,519,2012-06-30,Saturday,1,6,2012,,,0,33881.142857142855,36112.03571428572
d_520,40699,520,2012-07-01,Sunday,2,7,2012,,,2,33908.28571428572,35997.357142857145
d_521,35863,521,2012-07-02,Monday,3,7,2012,,,2,34482.0,36089.107142857145
d_522,39542,522,2012-07-03,Tuesday,4,7,2012,,,3,35935.0,36286.82142857143
d_523,32656,523,2012-07-04,Wednesday,5,7,2012,IndependenceDay,National,1,36473.71428571428,36253.57142857143
d_524,34408,524,2012-07-05,Thursday,6,7,2012,,,3,37162.71428571428,36320.46428571428
d_525,39991,525,2012-07-06,Friday,7,7,2012,,,3,37679.0,36430.82142857143
d_526,41431,526,2012-07-07,Saturday,1,7,2012,,,2,37798.57142857143,36363.75
d_527,42672,527,2012-07-08,Sunday,2,7,2012,,,2,38080.42857142857,36282.607142857145
d_528,35770,528,2012-07-09,Monday,3,7,2012,,,3,38067.142857142855,36144.53571428572
d_529,32587,529,2012-07-10,Tuesday,4,7,2012,,,1,37073.57142857143,36055.71428571428
d_530,33072,530,2012-07-11,Wednesday,5,7,2012,,,2,37133.0,36060.78571428572
d_531,33077,531,2012-07-12,Thursday,6,7,2012,,,2,36942.857142857145,36035.607142857145
d_532,36582,532,2012-07-13,Friday,7,7,2012,,,1,36455.857142857145,35849.32142857143
d_533,42348,533,2012-07-14,Saturday,1,7,2012,,,1,36586.857142857145,35774.67857142857
d_534,43689,534,2012-07-15,Sunday,2,7,2012,,,2,36732.142857142855,35940.75
d_535,33020,535,2012-07-16,Monday,3,7,2012,,,0,36339.28571428572,35902.17857142857
d_536,30418,536,2012-07-17,Tuesday,4,7,2012,,,0,36029.42857142857,35846.857142857145
d_537,28916,537,2012-07-18,Wednesday,5,7,2012,,,0,35435.71428571428,35755.71428571428
d_538,30864,538,2012-07-19,Thursday,6,7,2012,,,0,35119.57142857143,35759.28571428572
d_539,35402,539,2012-07-20,Friday,7,7,2012,Ramadan starts,Religious,0,34951.0,35720.892857142855
d_540,39544,540,2012-07-21,Saturday,1,7,2012,,,0,34550.42857142857,35704.25
d_541,39952,541,2012-07-22,Sunday,2,7,2012,,,0,34016.57142857143,35684.357142857145
d_542,30864,542,2012-07-23,Monday,3,7,2012,,,0,33708.57142857143,35649.25
d_543,29479,543,2012-07-24,Tuesday,4,7,2012,,,0,33574.42857142857,35653.107142857145
d_544,28354,544,2012-07-25,Wednesday,5,7,2012,,,0,33494.142857142855,35634.142857142855
d_545,28538,545,2012-07-26,Thursday,6,7,2012,,,0,33161.857142857145,35596.75
d_546,31840,546,2012-07-27,Friday,7,7,2012,,,0,32653.0,35434.71428571428
d_547,34588,547,2012-07-28,Saturday,1,7,2012,,,0,31945.0,35220.21428571428
d_548,36147,548,2012-07-29,Sunday,2,7,2012,,,0,31401.428571428572,35057.642857142855
d_549,28933,549,2012-07-30,Monday,3,7,2012,,,0,31125.571428571428,34810.142857142855
d_550,29531,550,2012-07-31,Tuesday,4,7,2012,,,0,31133.0,34452.607142857145
d_551,33970,551,2012-08-01,Wednesday,5,8,2012,,,2,31935.285714285714,34499.53571428572
d_552,35260,552,2012-08-02,Thursday,6,8,2012,,,2,32895.57142857143,34529.96428571428
d_553,39511,553,2012-08-03,Friday,7,8,2012,,,3,33991.42857142857,34512.82142857143
d_554,41276,554,2012-08-04,Saturday,1,8,2012,,,1,34946.857142857145,34507.28571428572
d_555,43009,555,2012-08-05,Sunday,2,8,2012,,,3,35927.142857142855,34519.32142857143
d_556,37024,556,2012-08-06,Monday,3,8,2012,,,3,37083.0,34564.107142857145
d_557,32394,557,2012-08-07,Tuesday,4,8,2012,,,2,37492.0,34557.21428571428
d_558,32301,558,2012-08-08,Wednesday,5,8,2012,,,2,37253.57142857143,34529.67857142857
d_559,35008,559,2012-08-09,Thursday,6,8,2012,,,3,37217.57142857143,34598.642857142855
d_560,36465,560,2012-08-10,Friday,7,8,2012,,,1,36782.42857142857,34594.46428571428
d_561,44081,561,2012-08-11,Saturday,1,8,2012,,,2,37183.142857142855,34656.357142857145
d_562,45798,562,2012-08-12,Sunday,2,8,2012,,,2,37581.57142857143,34731.67857142857
d_563,36030,563,2012-08-13,Monday,3,8,2012,,,1,37439.57142857143,34839.17857142857
d_564,34312,564,2012-08-14,Tuesday,4,8,2012,,,1,37713.57142857143,34978.25
d_565,35497,565,2012-08-15,Wednesday,5,8,2012,,,2,38170.142857142855,35213.28571428572
d_566,34405,566,2012-08-16,Thursday,6,8,2012,,,0,38084.0,35339.75
d_567,35457,567,2012-08-17,Friday,7,8,2012,,,0,37940.0,35341.71428571428
d_568,41521,568,2012-08-18,Saturday,1,8,2012,,,0,37574.28571428572,35412.32142857143
d_569,43364,569,2012-08-19,Sunday,2,8,2012,Eid al-Fitr,Religious,0,37226.57142857143,35534.17857142857
d_570,32410,570,2012-08-20,Monday,3,8,2012,,,0,36709.42857142857,35589.392857142855
d_571,30206,571,2012-08-21,Tuesday,4,8,2012,,,0,36122.857142857145,35615.357142857145
d_572,28922,572,2012-08-22,Wednesday,5,8,2012,,,0,35183.57142857143,35635.642857142855
d_573,28552,573,2012-08-23,Thursday,6,8,2012,,,0,34347.42857142857,35636.142857142855
d_574,33044,574,2012-08-24,Friday,7,8,2012,,,0,34002.71428571428,35679.142857142855
d_575,39964,575,2012-08-25,Saturday,1,8,2012,,,0,33780.28571428572,35871.142857142855
d_576,41021,576,2012-08-26,Sunday,2,8,2012,,,0,33445.57142857143,36045.21428571428
d_577,31010,577,2012-08-27,Monday,3,8,2012,,,0,33245.57142857143,36119.392857142855
d_578,28472,578,2012-08-28,Tuesday,4,8,2012,,,0,32997.857142857145,36081.57142857143
d_579,27101,579,2012-08-29,Wednesday,5,8,2012,,,0,32737.714285714286,35836.25
d_580,28303,580,2012-08-30,Thursday,6,8,2012,,,0,32702.14285714286,35587.78571428572
d_581,37092,581,2012-08-31,Friday,7,8,2012,,,0,33280.42857142857,35501.392857142855
d_582,44630,582,2012-09-01,Saturday,1,9,2012,,,2,33947.0,35621.17857142857
